prey_taxon,prey_stage,prey_kingdom,prey_class,prey_order,prey_family,prey_species,prey_taxon_cleaned,prey_phylum,prey_superclass,prey_subclass,prey_subphylum,prey_type,prey_origin
tadpoles,,,,,,,,,,,,,
tagelus spp,,,,,,,,,,,,,
tanaidacea,,,,,,,,,,,,,
teleostei probably_juvenile_0_mylciss,,,,,,,,,,,,,
teleosteiscales,,,,,,,,,,,,,
tem coleoptera,,,,,,,,,,,,,
ten coleoptera,,,,,,,,,,,,,
terr co_leoptera,,,,,,,,,,,,,
terr coleoptera,,,,,,,,,,,,,
terrestrial,,,,,,,,,,,,,
terrestrial arthropod_fragment,,,,,,,,,,,,,
terrestrial fauna,,,,,,,,,,,,,
terrestrial invertabrate,,,,,,,,,,,,,
terrestrial invertebrate,,,,,,,,,,,,,
testacea,,,,,,,,,,,,,
thalassiothrix,,,,,,,,,,,,,
thallassius massajae,,,,,,,,,,,,,
thermocyclops,,,,,,,,,,,,,
thread,,,,,,,,,,,,,
tilapia spp,,,,,,,,,,,,,
tissue,,,,,,,,,,,,,
tomoptema,,,,,,,,,,,,,
toxabramis swinhonis,,,,,,,,,,,,,
trichiurus spp_juvenile,,,,,,,,,,,,,
trichocerca capucina,,,,,,,,,,,,,
trichodactylus,,,,,,,,,,,,,
trichodesmium,,,,,,,,,,,,,
trichoptera imagines,,,,,,,,,,,,,
trichopteran larvae,,,,,,,,,,,,,
triehopteran larvae,,,,,,,,,,,,,
trinectes maculatus,,,,,,,,,,,,,
trithemus,,,,,,,,,,,,,
trochacea,,,,,,,,,,,,,
trout eggs,,,,,,,,,,,,,
tubifcidae sp,,,,,,,,,,,,,
turbellaria dugesia_sp_planariidae_fatworms,,,,,,,,,,,,,
umnicolidae hidrobia,,,,,,,,,,,,,
unidentifed corixidae,,,,,,,,,,,,,
unidentifed food,,,,,,,,,,,,,
unidentifed fsh,,,,,,,,,,,,,
unidentifed fsh_and_fah_parts,,,,,,,,,,,,,
unidentifed insecta_adult,,,,,,,,,,,,,
unidentifed items,,,,,,,,,,,,,
unidentifed matter,,,,,,,,,,,,,
unidentifed organic_material,,,,,,,,,,,,,
unidentifed parts,,,,,,,,,,,,,
unidentified 33,,,,,,,,,,,,,
unidentified 39,,,,,,,,,,,,,
unidentified adult,,,,,,,,,,,,,
unidentified adults,,,,,,,,,,,,,
unidentified animals,,,,,,,,,,,,,
unidentified cladocera,,,,,,,,,,,,,
unidentified dipteran_larvae,,,,,,,,,,,,,
unidentified fish_remains,,,,,,,,,,,,,
unidentified items,,,,,,,,,,,,,
unidentified larvae_44,,,,,,,,,,,,,
unidentified larvae_57,,,,,,,,,,,,,
unidentified material,,,,,,,,,,,,,
unidentified pisces,,,,,,,,,,,,,
unidentified prey,,,,,,,,,,,,,
unidentified seeds,,,,,,,,,,,,,
unknown clupeid,,,,,,,,,,,,,
unknown scieanid,,,,,,,,,,,,,
upogebia affinis,,,,,,,,,,,,,
urophycis regia,,,,,,,,,,,,,
valvata piscinalis,,,,,,,,,,,,,
valvatidae,,,,,,,,,,,,,
vegetable materials_n_id,,,,,,,,,,,,,
vegetable remains,,,,,,,,,,,,,
veliid,,,,,,,,,,,,,
watermite,,,,,,,,,,,,,
x1phigenia truncata,,,,,,,,,,,,,
x52,,,,,,,,,,,,,
zignemaphyceae,,,,,,,,,,,,,
zooplankton unid,,,,,,,,,,,,,
