,site_name,lat,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,prey_taxon,measurement,sampling_interval,predator_average_length,frequency
12,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,cladocera,0.03,NA,NA,NA
13,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,ostracoda,1,NA,NA,NA
14,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,ostracoda,0.01,NA,NA,NA
15,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,chaoborids,129,NA,NA,NA
16,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,chaoborids,1.6,NA,NA,NA
17,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,tendipeds,565,NA,NA,NA
18,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,tendipeds,7.02,NA,NA,NA
19,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,trichoptera,1,NA,NA,NA
20,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,trichoptera,0.01,NA,NA,NA
21,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,coleoptera,4,NA,NA,NA
22,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,coleoptera,0.05,NA,NA,NA
23,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,homoptera,3,NA,NA,NA
24,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,homoptera,0.04,NA,NA,NA
25,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,hemiptera,1,NA,NA,NA
26,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,hemiptera,0.01,NA,NA,NA
27,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,hymenoptera,2,NA,NA,NA
28,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,hymenoptera,0.03,NA,NA,NA
29,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,gastropoda,38,NA,NA,NA
30,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,gastropoda,0.47,NA,NA,NA
31,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,annelida,2,NA,NA,NA
32,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,annelida,0.03,NA,NA,NA
33,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,fish_and_fish_remains,245,NA,NA,NA
34,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,fish_and_fish_remains,3.04,NA,NA,NA
35,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,fish_eggs,3,NA,NA,NA
36,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,fish_eggs,0.04,NA,NA,NA
37,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,measurement_type_1,number,NA,NA,NA
38,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,NA,7/1/1972,lotic,NA,number,total,Ager,1975,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,measurement_type_1,percent number,NA,NA,NA
2828,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,24,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,aquatic_arthropoda,-,NA,17.7,bimonthly
2829,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,22,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,aquatic_arthropoda,8.00E-03,NA,17.7,bimonthly
2830,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,78,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,aquatic_arthropoda,1.00E-03,NA,17.7,bimonthly
2831,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,150,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,aquatic_arthropoda,4.00E-03,NA,17.7,bimonthly
2832,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,112,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,aquatic_arthropoda,3.00E-03,NA,17.7,bimonthly
2833,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,24,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,chironomidae_nonadult,0.271,NA,17.7,bimonthly
2834,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,22,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,chironomidae_nonadult,0.011,NA,17.7,bimonthly
2835,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,78,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,chironomidae_nonadult,0.385,NA,17.7,bimonthly
2836,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,150,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,chironomidae_nonadult,3.255,NA,17.7,bimonthly
2837,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,112,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,chironomidae_nonadult,2.638,NA,17.7,bimonthly
2838,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,24,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,other_diptera_nonadult,0.05,NA,17.7,bimonthly
2839,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,22,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,other_diptera_nonadult,-,NA,17.7,bimonthly
2840,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,78,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,other_diptera_nonadult,-,NA,17.7,bimonthly
2841,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,150,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,other_diptera_nonadult,5.00E-03,NA,17.7,bimonthly
2842,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,112,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,other_diptera_nonadult,3.00E-03,NA,17.7,bimonthly
2843,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,24,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,coleoptera_larvae,0.083,NA,17.7,bimonthly
2844,"Upper Tocantins River, Brazil",13°34's,48°06'W,8.5,23.5,cm,standard,NA,Leporinus friderici,22,2/1/1996,4/30/1998,River,NA,relative volume,percent,Míriam Pilz Albrecht & Érica Pellegrini Caramaschi,2003,Studies on neotropical fauna and environment,"Albrecht, M. P., & Caramaschi, É. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",tbl 1,NA,coleoptera_larvae,0.037,NA,17.7,bimonthly
