"","fish_id","total","citation","author_year_tbl","sample_size","start_date"
"57","0001FFMGJB3T1TPDV3QJ1VHKS5",97,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","Hickley and Bailey_1987_tbl 2","26","no mention"
"58","0001FFMGJB8T6560JP8XQCAY9Y",97,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","Hickley and Bailey_1987_tbl 4","17","no mention"
"59","0001FFMGJBQZ4DC4QKJ1QPGHZT",97,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","Hickley and Bailey_1987_tbl 2","13","no mention"
"60","0001FFMGHR6RV7S03D2PPPRHSE",96.9,"Hazzard, A. S., & Madsen, M. J. (1933). Studies of the food of the cutthroat trout. Transactions of the American Fisheries Society, 63(1), 198-203.","Hazzard & Madsen_1933_tbl 3","37","1931-08-14"
"61","0001FB8HSKGY3V7RR2JPYVA9E7",96.9,"Welton, J. S., JS, W., & CA, M. (1983). Food and habitat partitioning in two small benthic fishes, Noemacheilus barbatulus (L.) and Cottus gobio L.","Welton et al._1983_tbl 5",NA,"1980-06-01"
"62","0001FB8HSKX8K6A9KNQA3C00D1",96.9,"Welton, J. S., JS, W., & CA, M. (1983). Food and habitat partitioning in two small benthic fishes, Noemacheilus barbatulus (L.) and Cottus gobio L.","Welton et al._1983_tbl 10",NA,"1980-12-01"
"63","0001F846JJRDJ3Z7T49M2XKBVD",96.4,"Cordes, L. E., & Page, L. M. (1980). Feeding chronology and diet composition of two darters (Percidae) in the Iroquois River system, Illinois. American Midland Naturalist, 202-206.","Cordes & Page_1980_tbl 1b","10","1977-09-09"
"64","0001FFMGGNCWVQ140E76FK181H",96.3,"Greenfield, D. W., Greenfield, T. A., & Brinton, S. L. (1983). Spatial and trophic interactions between Gambusia sexradiata and Gambusia puncticulata yucatana (Pisces: Poeciliidae) in Belize, Central America. Copeia, 598-607.","Greenfield et al._1983_tbl 2",NA,"1976-05-20"
"65","0001F846JJ8D2XJFZE39N94831",96.2,"Cadwallader, P. L. (1975). The food of the New Zealand common river galaxias, Galaxias vulgaris Stokell (Pisces: Salmoniformes). Marine and Freshwater Research, 26(1), 15-30.","Cadwallader_1975_tbl 4","69","1971-05-01"
"66","Cable_1927_tbl 4b_7_1_percentPercent volume_Lake Poinsett, South Dakota_12_14_7_1926-07-04_1926-07-07lakeNA",96.0002,"Cable, L. E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation, University of South Dakota).","Cable_1927_tbl 4b","1","1926-07-04"
"67","0001FB8GZ7F4RV3B9AQBGDSAYQ",96,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-07-13"
"68","0001FFMGG6EC6G11C0WS285VN4",96,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","38","1973-05-01"
"69","0001FB8GZ71M0N3KK3MF8P23BP",95.6,"Sagar, P. M., & Glova, G. J. (1994). Food partitioning by small fish in a coastal New Zealand stream. New Zealand journal of marine and freshwater research, 28(4), 429-436.","Sagar & Glova_1994_tbl 2","20","1993-04-05"
"70","0001FB8GZ7GM1B7X4V1VBXYFE2",95,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","18","1988-07-20"
"71","0001FB8GZ7HZGVNMD6CY88EHXM",95,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","15","1988-07-19"
"72","0001FB8GZ7NWRKKD523ZA7YWNJ",95,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","2","1988-10-20"
"73","0001FFMGG61JD47JQ9EPJMS55Q",95,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","30","1972-05-01"
"74","0001FFMGG66173V0HT4HX7505P",95,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","22","1971-08-01"
"75","0001FFMGJBQ2GFPADJGB0T0TJC",95,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","Hickley and Bailey_1987_tbl 2","13","no mention"
"76","0001FFMGJV6NW5VR1DYQ8QAR0T",95,"Elrod, J. H., Busch, W. D. N., Griswold, B. L., Schneider, C. P., & Wolfert, D. R. (1981). Food of white perch, rock bass and yellow perch in eastern Lake Ontario. New York Fish and Game Journal, 28(2), 191-201.","Elrod et al._1981_tbl 3","40","1972-07-01"
"77","0001F846JJVV9MWZP7W7GEB6JT",94.6,"Cadwallader, P. L. (1975). The food of the New Zealand common river galaxias, Galaxias vulgaris Stokell (Pisces: Salmoniformes). Marine and Freshwater Research, 26(1), 15-30.","Cadwallader_1975_tbl 4","11","1971-04-01"
"78","0001F846JJQ0PG7V1QKCY2Z6XT",94,"Cordes, L. E., & Page, L. M. (1980). Feeding chronology and diet composition of two darters (Percidae) in the Iroquois River system, Illinois. American Midland Naturalist, 202-206.","Cordes & Page_1980_tbl 1","10","1977-09-09"
"79","0001FB8GZ7VRT29SCVAQTRZBQ8",94,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","15","1988-07-19"
"80","0001FFMGG6RVQ8M23MT38ZQNCW",94,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","19","1972-08-01"
"81","0001FFMGG6XZRPP9V57G82GCMG",94,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","26","1973-08-01"
"82","0001FB8GZ75ER8R42ZBZ15QW9X",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","18","1988-05-16"
"83","0001FB8GZ7986KVPP7MDT5JDQA",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","18","1988-05-16"
"84","0001FB8GZ7QTFZP2Y8KG5TJTA8",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-07-13"
"85","0001FB8GZ7VED2F2BF6GHYWFC1",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","15","1988-10-20"
"86","0001FB8GZ8J4M5CWEZ9ZEQ5CCE",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","15","1989-01-11"
"87","0001FB8GZ8Q8Y348N9NW914336",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1989-01-11"
"88","0001FFMGJB2SE2HWY185R0YC5A",93,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","Hickley and Bailey_1987_tbl 3","116","no mention"
"89","0001FB8HMY4S1C77R5DJE0P75C",92.99,"Zakeyuddin, M. S., Isa, M. M., & Rawi, C. S. M. (2017). Terrestrial Insects as the Main Food for Freshwater Fish in Sungai Kerian Tributaries: An Implication on Habitat Conservation. Sains Malaysiana, 46(6), 833-843.","Zakeyuddin et al._2017_tbl 3","127","2008-05-01"
"90","0001FB8GZ7FAV4TYVN5SGG7HY6",92.5,"Sagar, P. M., & Glova, G. J. (1994). Food partitioning by small fish in a coastal New Zealand stream. New Zealand journal of marine and freshwater research, 28(4), 429-436.","Sagar & Glova_1994_tbl 2","18","1993-04-05"
"91","0001FB8GZ7CFXM2DKFJWYX5N6Q",92,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","30","1988-10-07"
"92","0001FB8GZ7NRK8SNMGNFXSEHX3",92,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","29","1988-04-27"
"93","0001FB8GZ7SHXXRVEY6EVK17BD",92,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","29","1988-04-27"
"94","0001FB8GZ7V37A31SKAQQDQ04W",92,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-07-13"
"95","0001FFMGG69FA1V74GZF9HF6C8",92,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","23","1972-08-01"
"96","0001FFMGJB1NYA80PNNH7Z5RH4",92,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","Hickley and Bailey_1987_tbl 2","19","no mention"
"97","0001F8466BJZ587XT8V5JCM1PP",91.1,"Nilsson, N. A. (1955). Studies on the feeding hibits of trout and char in north Swedish lakes. Report of Institute of Freshwater Research Drottningholm, 36, 163-225.","Nilsson_1955_tbl 13","24","1944-09-01"
"98","0001FB8GZ7FBBK7NAC1JD508FX",91,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-10-06"
"99","0001FB8GZ8HG0591J7Z7F52QBX",91,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","15","1989-02-08"
"100","0001FB8GZ8JX1E9RC0W9A0WHR5",91,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","2","1989-01-10"
"101","0001FFMGG67RZVNS088NSH9X1P",91,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","28","1973-08-01"
"102","0001FFMGG6V0VFW3Z7626RF2DH",91,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","21","1973-08-01"
