"","measurement","how_to_fix","author","citation","fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","year","journal","table_figure","data_sorted_by","sample_id","notes","prey_taxon","prey_stage"
"11","0_015","0.015","Hanson and Qadri","HANSON, J., JM, H., & SU, O. (1979). Seasonal growth, food, and feeding habits of young-of-the-year black crappie in the Ottawa River.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","0i83","0.83","Hanson and Qadri","HANSON, J., JM, H., & SU, O. (1979). Seasonal growth, food, and feeding habits of young-of-the-year black crappie in the Ottawa River.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","/",NA,"Hickley and Bailey","Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","_","0","Hickley and Bailey","Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","i","1","Hickley and Bailey","Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","i","re-added","Keast","Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1(2)","re-added","Keast","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","17  (2)","re-added","Keast","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","4  (4)","re-added","Keast","Keast, A. (1985). Development of dietary specializations in a summer community of juvenile fishes. Environmental Biology of Fishes, 13(3), 211-224.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","0.0.","0","Magalhães","Magalhães, M. F. (1993). Feeding of an Iberian stream cyprinid assemblage: seasonality of resource use in a highly variable environment. Oecologia, 96(2), 253-260.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","_","0","Maitland","Maitland, P. S. (1965). The feeding relationships of salmon, trout, minnows, stone loach and three-spined stickle-backs in the River Endrick, Scotland. The Journal of Animal Ecology, 109-133.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1-","1","Maitland","Maitland, P. S. (1965). The feeding relationships of salmon, trout, minnows, stone loach and three-spined stickle-backs in the River Endrick, Scotland. The Journal of Animal Ecology, 109-133.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","x","tr.","Malmquist et al.","Malmquist, H. J., Snorrason, S. S., Skulason, S., Jonsson, B., Sandlund, O. T., & Jonasson, P. M. (1992). Diet differentiation in polymorphic Arctic charr in Thingvallavatn, Iceland. Journal of Animal Ecology, 21-35.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","—","0","Mathur","Mathur, D. (1973). Food habits and feeding chronology of the blackbanded darter, Percina nigrofasciata (Agassiz), in Halawakee Creek, Alabama. Transactions of the American Fisheries Society, 102(1), 48-55.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","*","tr.","Ndome & Victor","Ndome, C. B., & Victor, R. (2002). Food and feeding habits of Epiplatys senegalensis (Pisces: Cyprinodontiformes; Cyprinodontidae) in a back water pond in Benin City, Southern Nigeria. West African Journal of Applied Ecology, 3(1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","•","tr.","Neill","Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","• •","tr.","Neill","Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","0-2","0.2","Neill","Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","0-31","0.31","Neill","Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","0..0.  2","0.02","Neill","Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","17-34","17.34","Neill","Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","6..25","6.25","Neill","Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","6.0.2","0.02","Neill","Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","78-49","78.49","Neill","Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","li.8.","17.8","Neill","Neill, R. M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta L.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-520.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","-3.4","3.4","Nilsson","Nilsson, N. A. (1955). Studies on the feeding hibits of trout and char in north Swedish lakes. Report of Institute of Freshwater Research Drottningholm, 36, 163-225.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",".3.2","3.2","Nilsson and Northcote","Nilsson, N. A., & Northcote, T. G. (1981). Rainbow trout (Salmo gairdneri) and cutthroat trout (S. clarki) interactions in coastal British Columbia lakes. Canadian Journal of Fisheries and Aquatic Sciences, 38(10), 1228-1246.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","21,2","21.2","Nilsson and Northcote","Nilsson, N. A., & Northcote, T. G. (1981). Rainbow trout (Salmo gairdneri) and cutthroat trout (S. clarki) interactions in coastal British Columbia lakes. Canadian Journal of Fisheries and Aquatic Sciences, 38(10), 1228-1246.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","a.,2","4.2","Nilsson and Northcote","Nilsson, N. A., & Northcote, T. G. (1981). Rainbow trout (Salmo gairdneri) and cutthroat trout (S. clarki) interactions in coastal British Columbia lakes. Canadian Journal of Fisheries and Aquatic Sciences, 38(10), 1228-1246.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","23.s","23.8","Tester","no results in search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",".  6.6","6.6","Perry","Perry, K. R. (1970). The distribution and food habits of bottom fishes in Tuttle Creek Reservoir (Doctoral dissertation, Kansas State University).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1(l0","10","Pontius et al.","Pontius, R. W., & Parker, M. (1973). Food habits of the mountain whitefish, Prosopium williamsoni (Girard). Transactions of the American Fisheries Society, 102(4), 764-773.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","*","tr.","Speirs","Speirs, G. D. (1974). Food habits of landlocked salmon and brook trout in a Maine lake after introduction of landlocked alewives. Transactions of the American Fisheries Society, 103(2), 396-399.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","44-4","44.4","Tippets","Tippets, W. E., & Moyle, P. B. (1978). Epibenthic feeding by rainbow trout (Salmo gairdneri) in the McCloud River, California. The Journal of Animal Ecology, 549-559.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","*","tr.","Vidotto-Magnoni & Carvalho","Vidotto-Magnoni, A. P., & Carvalho, E. D. (2009). Aquatic insects as the main food resource of fish the community in a Neotropical reservoir. Neotropical Ichthyology, 7(4), 701-708.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4,2","4.2","Vijayakumar et al.","Vijayakumar, B., Padmanabhan, K. G., Kortmulder, K., & Kumar, K. P. (1985). Food and feeding habits of two cyprinid forage fishes, Puntius (= Barbus) filamentosus (Val.) and P. amphibius (Val.) from South Kerala, India. Netherlands journal of zoology, 36(4), 449-460.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","*","tr.","Weliange and Amarasinghe","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","*+","tr.","Weliange and Amarasinghe","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","+","tr.","Weliange and Amarasinghe","Weliange, W. S., & Amarasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri Lanka. Asian Fisheries Science, 16(3/4), 203-214.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","%",NA,"Ayinla","Ayinla, 1988, Nigerian Institute for Oceanography and Marine Research Lagos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","number",NA,"Ayinla","Ayinla, 1988, Nigerian Institute for Oceanography and Marine Research Lagos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","10.66716.233",NA,"Pereira","Pereira, P. R., Agostinho, C. S., Oliveira, R. J. D., & Marques, E. E. (2007). Trophic guilds of fishes in sandbank habitats of a Neotropical river. Neotropical Ichthyology, 5(3), 399-404.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","12.46718.269",NA,"Pereira","Pereira, P. R., Agostinho, C. S., Oliveira, R. J. D., & Marques, E. E. (2007). Trophic guilds of fishes in sandbank habitats of a Neotropical river. Neotropical Ichthyology, 5(3), 399-404.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","12.850 72.435 0.198",NA,"Pereira","Pereira, P. R., Agostinho, C. S., Oliveira, R. J. D., & Marques, E. E. (2007). Trophic guilds of fishes in sandbank habitats of a Neotropical river. Neotropical Ichthyology, 5(3), 399-404.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36.15515.724",NA,"Pereira","Pereira, P. R., Agostinho, C. S., Oliveira, R. J. D., & Marques, E. E. (2007). Trophic guilds of fishes in sandbank habitats of a Neotropical river. Neotropical Ichthyology, 5(3), 399-404.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","46.78510.894",NA,"Pereira","Pereira, P. R., Agostinho, C. S., Oliveira, R. J. D., & Marques, E. E. (2007). Trophic guilds of fishes in sandbank habitats of a Neotropical river. Neotropical Ichthyology, 5(3), 399-404.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
