"","fish_id","total","citation","author_year_tbl","sample_size","start_date"
"12","0001FGHR7ST2R8K9CRGR3BQEZD",96,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","38","1973-05-01"
"13","0001FGHR7SAS1BZQCHHPFP9Q2Q",95,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","22","1971-08-01"
"14","0001FGHR7SF8K96RXDY68JGVRZ",95,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","30","1972-05-01"
"15","0001FGHR7S5WT03K6J94JNBGG0",94,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","26","1973-08-01"
"16","0001FGHR7SVZE6FBY8WJ1CNA91",94,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","19","1972-08-01"
"17","0001FGHR7SSXVJGN1MQF2WGHPQ",92,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","23","1972-08-01"
"18","0001FGHR7S2ZBKNEJQJZ004JR1",91,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","21","1973-08-01"
"19","0001FGHR7SHS1601RV9RHV2XBA",91,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","28","1973-08-01"
"20","0001FGHR7SD9300X31FMYDGX9A",90,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","39","1972-05-01"
"21","0001FGHR7ST523R6VTECAYAZVX",90,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","22","1972-08-01"
"22","0001FGHR7ST7T0JGN6XHDZ29DC",85.59,"Costa, H. H. (1979). The food and feeding chronology of yellow perch (Perca flavescens) in Lake Washington. Internationale Revue der gesamten Hydrobiologie und Hydrographie, 64(6), 783-793.","Costa_1979_tbl 3","96","1973-07-17"
"23","0001FGHR7ST4C8EQP6PCC99F0G",85,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","29","1973-05-01"
"24","0001FGHR7S59VK1DKC0E1ZPP25",80,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","35","1971-05-01"
"25","0001FGHR7S4ZBVMHXHBHB5XB5X",74.89,"Costa, H. H. (1979). The food and feeding chronology of yellow perch (Perca flavescens) in Lake Washington. Internationale Revue der gesamten Hydrobiologie und Hydrographie, 64(6), 783-793.","Costa_1979_tbl 4","19","1973-07-17"
"26","0001FGHR7S0A6B78EB0ZTRVKFV",74,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","24","1971-08-01"
"27","0001FGHR7TT5CS6Y66YYCJ2YTG",49,"Siaw-Yang, Y. (1988). Food resource utilization partitioning of fifteen fish species at Bukit Merah Reservoir, Malaysia. Hydrobiologia, 157(2), 143-160.","Siaw-Yang_1988_tbl 1","25","1979-09-01"
"28","0001FGHR7SJYHKSRFPYGRYKH0F",28.25,"Costa, H. H. (1979). The food and feeding chronology of yellow perch (Perca flavescens) in Lake Washington. Internationale Revue der gesamten Hydrobiologie und Hydrographie, 64(6), 783-793.","Costa_1979_tbl 4","41","1973-07-17"
"29","0001FGHR7TERJ5AZ4X7Q9ZAJ7C",0,"Siaw-Yang, Y. (1988). Food resource utilization partitioning of fifteen fish species at Bukit Merah Reservoir, Malaysia. Hydrobiologia, 157(2), 143-160.","Siaw-Yang_1988_tbl 1","10","1979-09-01"
