"fish_id_new","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"pal aemonetes_sp",NA,"unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"pal aemonetes_sp","2.6","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"macrobrachium ohione",NA,"unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"macrobrachium ohione",NA,"unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"macrobrachium ohione",NA,"unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"macrobrachium ohione","1","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"penaeus setiferus",NA,"unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"penaeus setiferus",NA,"unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"penaeus setiferus",NA,"unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"penaeus setiferus","2.6","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"callianassa sp",NA,"unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"callianassa sp",NA,"unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"callianassa sp","5.1","unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"callianassa sp","1.3","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_60_129_1_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","60","129",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","1",NA,"rithropanopeus harrisii",NA,"unknown"
"Darnell_1958_tbl 3_16_percentpercent volume_Lake Pontchartrain, Louisiana_130_199_2_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","130","199",NA,"mm","standard length",NA,"16","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","2",NA,"rithropanopeus harrisii","10.9","unknown"
"Darnell_1958_tbl 3_15_percentpercent volume_Lake Pontchartrain, Louisiana_200_229_3_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","200","229",NA,"mm","standard length",NA,"15","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","3",NA,"rithropanopeus harrisii","2.4","unknown"
"Darnell_1958_tbl 3_23_percentpercent volume_Lake Pontchartrain, Louisiana_230_411_4_1953-07-01_1955-05-01lenticNA","Lake Pontchartrain, Louisiana","Ictalurus furcatus","percent volume","percent","230","411",NA,"mm","standard length",NA,"23","1953-07-01","1955-05-01",NA,"lentic",NA,"Darnell","1958","Publ. Inst. Mar. Sci. Univ. Tex","Darnell, R. M. (1958). Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353-416.","tbl 3","averaged over date for each size range","4",NA,"rithropanopeus harrisii","6.4","unknown"
