,site_name,lat.x,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,prey_taxon,measurement,prey_stage,sampling_interval,predator_average_length,frequency,lon,lat.y
12,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,cladocera,0.03,unknown,NA,NA,NA,-80.7975834,26.9689536
13,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,ostracoda,1,unknown,NA,NA,NA,-80.7975834,26.9689536
14,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,ostracoda,0.01,unknown,NA,NA,NA,-80.7975834,26.9689536
15,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,chaoborids,129,unknown,NA,NA,NA,-80.7975834,26.9689536
16,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,chaoborids,1.6,unknown,NA,NA,NA,-80.7975834,26.9689536
17,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,tendipeds,565,unknown,NA,NA,NA,-80.7975834,26.9689536
18,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,tendipeds,7.02,unknown,NA,NA,NA,-80.7975834,26.9689536
19,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,trichoptera,1,unknown,NA,NA,NA,-80.7975834,26.9689536
20,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,trichoptera,0.01,unknown,NA,NA,NA,-80.7975834,26.9689536
21,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,coleoptera,4,unknown,NA,NA,NA,-80.7975834,26.9689536
22,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,coleoptera,0.05,unknown,NA,NA,NA,-80.7975834,26.9689536
23,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,homoptera,3,unknown,NA,NA,NA,-80.7975834,26.9689536
24,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,homoptera,0.04,unknown,NA,NA,NA,-80.7975834,26.9689536
25,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,hemiptera,1,unknown,NA,NA,NA,-80.7975834,26.9689536
26,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,hemiptera,0.01,unknown,NA,NA,NA,-80.7975834,26.9689536
27,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,hymenoptera,2,unknown,NA,NA,NA,-80.7975834,26.9689536
28,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,hymenoptera,0.03,unknown,NA,NA,NA,-80.7975834,26.9689536
29,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,gastropoda,38,unknown,NA,NA,NA,-80.7975834,26.9689536
30,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,gastropoda,0.47,unknown,NA,NA,NA,-80.7975834,26.9689536
31,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,annelida,2,unknown,NA,NA,NA,-80.7975834,26.9689536
32,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,annelida,0.03,unknown,NA,NA,NA,-80.7975834,26.9689536
33,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,fish_and_fish_remains,245,unknown,NA,NA,NA,-80.7975834,26.9689536
34,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,fish_and_fish_remains,3.04,unknown,NA,NA,NA,-80.7975834,26.9689536
35,"Lake Okeechobee, Florida",NA,NA,NA,NA,NA,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,fish_eggs,3,unknown,NA,NA,NA,-80.7975834,26.9689536
36,"Lake Okeechobee, Florida",NA,NA,NA,0,0,NA,NA,black crappie,600,8/1/1971,7/1/1972,lotic,NA,number,total,Ager,1975.00,Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners,"Ager, L. A. (1976). Monthly food habits of various size groups of black crappie in Lake Okeechobee. In Proceedings of the Annual Conference Southeastern Association of Game and Fish Commissioners (Vol. 29, No. 1975, pp. 336-342).",tbl1,NA,fish_eggs,0.04,unknown,NA,NA,NA,-80.7975834,26.9689536
37,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,prey_taxon,percent area,unknown,NA,NA,NA,-95.25836,35.8255367
38,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,coleoptera,0.9,unknown,NA,NA,NA,-95.25836,35.8255367
39,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,acari,0,unknown,NA,NA,NA,-95.25836,35.8255367
40,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,elimdae,0.3,unknown,NA,NA,NA,-95.25836,35.8255367
41,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,georissidae,0.2,unknown,NA,NA,NA,-95.25836,35.8255367
42,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,psephenidae_larvae,0,larvae,NA,NA,NA,-95.25836,35.8255367
43,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,chironomidae,0.6,unknown,NA,NA,NA,-95.25836,35.8255367
44,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,baetidae,1.4,unknown,NA,NA,NA,-95.25836,35.8255367
45,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,heptageniidae,1.8,unknown,NA,NA,NA,-95.25836,35.8255367
46,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,corixidae,0.1,unknown,NA,NA,NA,-95.25836,35.8255367
47,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,sialidae,0.1,unknown,NA,NA,NA,-95.25836,35.8255367
48,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,anisoptera,0,unknown,NA,NA,NA,-95.25836,35.8255367
49,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,aeshnidae,0.2,unknown,NA,NA,NA,-95.25836,35.8255367
50,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,zygoptera,0,unknown,NA,NA,NA,-95.25836,35.8255367
51,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,ostracoda,0.1,unknown,NA,NA,NA,-95.25836,35.8255367
52,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,plecoptera,0.1,unknown,NA,NA,NA,-95.25836,35.8255367
53,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,collembola,0.5,unknown,NA,NA,NA,-95.25836,35.8255367
54,"Neosho River, KS",NA,NA,39,108,mm,total,NA,Luxilus cardinalis,95,7/1/2010,7/1/2010,lotic,NA,percent,area,Alexander,2013.00,Transactions of the Kansas Academy of Sciences,"Alexander, A. M., & Perkin, J. S. (2013). Notes on the distribution and feeding ecology of a relict population of the cardinal shiner, Luxilus cardinalis (Teleostei: Cyprinidae), in Kansas. Transactions of the Kansas Academy of Science, 116(1–2), 11-22.",tbl1,NA,trichoptera,0.3,unknown,NA,NA,NA,-95.25836,35.8255367
