site_name,,,,,,
lat,,,,,,
long,,,,,,
Unbranched filamentous algae (120 µm × 100 μm),,0.002,,,,
Unbranched filamentous algae (40-50 µm × 200 μm),,0.053,,,,
Unbranched filamentous algae (100 µm × 200-300 μm),,0.01,,,,
Oedogonium sp.,0.149,0.18,,,,
Table 2. Continued.,,,,,,
Desmidium sp.,,0.173,,,,
Cosmarium sp.,0.068,0.042,,,,
Particles of higher vascular plants,0.185,0.02,,,,
Vaucheria sp.,0.399,0.022,,,,
Fungus,,0.09,,,,
Number of components in food,64,66,,,,
Condition value,1.27 ± 0.13,1.35 ± 0.3,,,,
Vacuity index,23.7,15.9,,,,
Repletion index,2.42 ± 1.29,3.76 ± 2.33,,,,
Relative gut length,1.3 ± 0.2,1.0 ± 0.3,,,,
Shannon-Wiener diversity index,2.05,1.07,,,,
Evenness,0.49,0.25,,,,
Morisita-Horn index,0.07,,,,,
Schoener overlap index,0.16,,,,,
,,,,,,
,,,,,,
YALÇIN ÖZDİLEK / Turk J Zool,,,,,,
Table 3. Food resources for male and female B. oligolepis and S. cii.,,,,,,
,B. oligolepis,,S. cii,,,
,Female,Male,Female,,Male,
Food organisms,,,,,,
,%N,%N,%N,%F,%N,%F
Nematoda,,<0.01,<0.01,12.5,,
Oligochaeta setae,0.01,0.01,,,,
Rotifera,,<0.01,,,<0.01,4.65
Copepoda,,<0.01,,,<0.01,2.33
Cladocera,,,,,<0.01,4.65
Insecta,0.49,0.21,<0.01,37.5,0.02,60.47
Insecta eggs,,,,,<0.01,11.63
Fish,,,<0.01,6.25,<0.01,2.33
Fish eggs,,0.01,,,<0.01,2.33
Bryozoa statoblasts,<0.01,,<0.01,6.25,0.02,6.98
Cyanobacteria,16.66,0.04,0.12,12.5,81.04,4.65
Bacillariophyceae,68.92,95.85,52.46,87.5,16.67,83.72
Chlorophyceae,1.26,3.24,31.88,62.5,2.14,62.79
Zygnemophyceae,,0.02,13.17,37.5,0.01,20.93
Bryophyta (250 µm × 1000 µm),,0.2,1.14,56.25,<0.01,48.84
"Xanthophyceae (Vaucheria sp., 200 µm × 1000 µm)",0.67,0.42,1.22,12.5,<0.01,4.65
Fungus (100 µm × 5 µm fragment),,,,,0.09,13.95
