"","fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"29","0001FHXT0CHGFY6SJ2SPYQ34RQ",NA,NA,NA,NA,NA,NA,NA,"Rasbora  vaterifloris","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"30","0001FHXT0C7MSTWANX7A06HY1E",NA,NA,NA,NA,NA,NA,NA,"Garra  larnpta","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"31","0001FHXT0CAGFA4HR1Y90H8CD3",NA,NA,NA,NA,NA,NA,NA,"Danio  malabaricus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"32","0001FHXT0CQF1DGAT6GAX9AHGA",NA,NA,NA,NA,NA,NA,NA,"Noemocheilus  notostigma","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"33","0001FHXT0CVD53X8N3PCDBHFVQ",NA,NA,NA,NA,NA,NA,NA,"Aplocheilus  dayi","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"34","0001FHXT0CK74DC7H803J0ZYJG",NA,NA,NA,NA,NA,NA,NA,"Xeneodon  cancila","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"35","0001FHXT0CJXGM4J5KQ5VYY04H",NA,NA,NA,NA,NA,NA,NA,"Mastacembelus  armatus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"36","0001FHXT0CF8WN5QD9HDXMHMTY",NA,NA,NA,NA,NA,NA,NA,"Belontia  signata","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"37","0001FHXT0CWZKD4C9RCCBQRX8Z",NA,NA,NA,NA,NA,NA,NA,"Channa  orientalis","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"38","0001FHXT0C5NQJAC56BE5CBZQG",NA,NA,NA,NA,NA,NA,NA,"Ophiocephalus  gaucha","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"39","0001FHXT0CZQMTW4MPAEK0HKMS",NA,NA,NA,NA,NA,NA,NA,"Gobius  gram  mepomus","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"40","0001FHXT0C9JSV53JTN630RCYV",NA,NA,NA,NA,NA,NA,NA,"Sicyopterus  Wei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichoptera",NA,"unknown"
"41","0001FHXT0CP21PS1TE2MXNKG8Q",NA,NA,NA,NA,NA,NA,NA,"Barbus  nigrofasciatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"42","0001FHXT0C3DP07XT6VKVS2RNR",NA,NA,NA,NA,NA,NA,NA,"Barbus  dorsalis","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"43","0001FHXT0CJDVCP4SXTJ2D5M1K",NA,NA,NA,NA,NA,NA,NA,"Barbus  pleurotaenia","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"44","0001FHXT0C0AMHWQ3QF7JZ48DC",NA,NA,NA,NA,NA,NA,NA,"Barbus  titteya","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"45","0001FHXT0CPBBMSCWE7VMWE6Q5",NA,NA,NA,NA,NA,NA,NA,"Barbus  sarana","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"46","0001FHXT0CR5RRN2QVE4NPNA23",NA,NA,NA,NA,NA,NA,NA,"Barbus  jilamentosus","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"47","0001FHXT0C55J1AKDMH3RTC0B4",NA,NA,NA,NA,NA,NA,NA,"Barbus  bimaculatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"48","0001FHXT0C3QB1S362VY6WAQ23",NA,NA,NA,NA,NA,NA,NA,"Rasbora  daniconius","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"49","0001FHXT0CHGFY6SJ2SPYQ34RQ",NA,NA,NA,NA,NA,NA,NA,"Rasbora  vaterifloris","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"50","0001FHXT0C7MSTWANX7A06HY1E",NA,NA,NA,NA,NA,NA,NA,"Garra  larnpta","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"51","0001FHXT0CAGFA4HR1Y90H8CD3",NA,NA,NA,NA,NA,NA,NA,"Danio  malabaricus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"52","0001FHXT0CQF1DGAT6GAX9AHGA",NA,NA,NA,NA,NA,NA,NA,"Noemocheilus  notostigma","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"53","0001FHXT0CVD53X8N3PCDBHFVQ",NA,NA,NA,NA,NA,NA,NA,"Aplocheilus  dayi","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"54","0001FHXT0CK74DC7H803J0ZYJG",NA,NA,NA,NA,NA,NA,NA,"Xeneodon  cancila","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"55","0001FHXT0CJXGM4J5KQ5VYY04H",NA,NA,NA,NA,NA,NA,NA,"Mastacembelus  armatus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"56","0001FHXT0CF8WN5QD9HDXMHMTY",NA,NA,NA,NA,NA,NA,NA,"Belontia  signata","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"57","0001FHXT0CWZKD4C9RCCBQRX8Z",NA,NA,NA,NA,NA,NA,NA,"Channa  orientalis","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"58","0001FHXT0C5NQJAC56BE5CBZQG",NA,NA,NA,NA,NA,NA,NA,"Ophiocephalus  gaucha","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"59","0001FHXT0CZQMTW4MPAEK0HKMS",NA,NA,NA,NA,NA,NA,NA,"Gobius  gram  mepomus","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"60","0001FHXT0C9JSV53JTN630RCYV",NA,NA,NA,NA,NA,NA,NA,"Sicyopterus  Wei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diptera",NA,"unknown"
"61","0001FHXT0CP21PS1TE2MXNKG8Q",NA,NA,NA,NA,NA,NA,NA,"Barbus  nigrofasciatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"62","0001FHXT0C3DP07XT6VKVS2RNR",NA,NA,NA,NA,NA,NA,NA,"Barbus  dorsalis","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"63","0001FHXT0CJDVCP4SXTJ2D5M1K",NA,NA,NA,NA,NA,NA,NA,"Barbus  pleurotaenia","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"64","0001FHXT0C0AMHWQ3QF7JZ48DC",NA,NA,NA,NA,NA,NA,NA,"Barbus  titteya","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"65","0001FHXT0CPBBMSCWE7VMWE6Q5",NA,NA,NA,NA,NA,NA,NA,"Barbus  sarana","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"66","0001FHXT0CR5RRN2QVE4NPNA23",NA,NA,NA,NA,NA,NA,NA,"Barbus  jilamentosus","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"67","0001FHXT0C55J1AKDMH3RTC0B4",NA,NA,NA,NA,NA,NA,NA,"Barbus  bimaculatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"68","0001FHXT0C3QB1S362VY6WAQ23",NA,NA,NA,NA,NA,NA,NA,"Rasbora  daniconius","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"69","0001FHXT0CHGFY6SJ2SPYQ34RQ",NA,NA,NA,NA,NA,NA,NA,"Rasbora  vaterifloris","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"70","0001FHXT0C7MSTWANX7A06HY1E",NA,NA,NA,NA,NA,NA,NA,"Garra  larnpta","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"71","0001FHXT0CAGFA4HR1Y90H8CD3",NA,NA,NA,NA,NA,NA,NA,"Danio  malabaricus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"72","0001FHXT0CQF1DGAT6GAX9AHGA",NA,NA,NA,NA,NA,NA,NA,"Noemocheilus  notostigma","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"73","0001FHXT0CVD53X8N3PCDBHFVQ",NA,NA,NA,NA,NA,NA,NA,"Aplocheilus  dayi","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"74","0001FHXT0CK74DC7H803J0ZYJG",NA,NA,NA,NA,NA,NA,NA,"Xeneodon  cancila","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"75","0001FHXT0CJXGM4J5KQ5VYY04H",NA,NA,NA,NA,NA,NA,NA,"Mastacembelus  armatus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"76","0001FHXT0CF8WN5QD9HDXMHMTY",NA,NA,NA,NA,NA,NA,NA,"Belontia  signata","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"77","0001FHXT0CWZKD4C9RCCBQRX8Z",NA,NA,NA,NA,NA,NA,NA,"Channa  orientalis","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"78","0001FHXT0C5NQJAC56BE5CBZQG",NA,NA,NA,NA,NA,NA,NA,"Ophiocephalus  gaucha","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"79","0001FHXT0CZQMTW4MPAEK0HKMS",NA,NA,NA,NA,NA,NA,NA,"Gobius  gram  mepomus","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"80","0001FHXT0C9JSV53JTN630RCYV",NA,NA,NA,NA,NA,NA,NA,"Sicyopterus  Wei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"misc aq_insecta",NA,"unknown"
"81","0001FHXT0CP21PS1TE2MXNKG8Q",NA,NA,NA,NA,NA,NA,NA,"Barbus  nigrofasciatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"82","0001FHXT0C3DP07XT6VKVS2RNR",NA,NA,NA,NA,NA,NA,NA,"Barbus  dorsalis","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"83","0001FHXT0CJDVCP4SXTJ2D5M1K",NA,NA,NA,NA,NA,NA,NA,"Barbus  pleurotaenia","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"84","0001FHXT0C0AMHWQ3QF7JZ48DC",NA,NA,NA,NA,NA,NA,NA,"Barbus  titteya","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"85","0001FHXT0CPBBMSCWE7VMWE6Q5",NA,NA,NA,NA,NA,NA,NA,"Barbus  sarana","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"86","0001FHXT0CR5RRN2QVE4NPNA23",NA,NA,NA,NA,NA,NA,NA,"Barbus  jilamentosus","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"87","0001FHXT0C55J1AKDMH3RTC0B4",NA,NA,NA,NA,NA,NA,NA,"Barbus  bimaculatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"88","0001FHXT0C3QB1S362VY6WAQ23",NA,NA,NA,NA,NA,NA,NA,"Rasbora  daniconius","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"89","0001FHXT0CHGFY6SJ2SPYQ34RQ",NA,NA,NA,NA,NA,NA,NA,"Rasbora  vaterifloris","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"90","0001FHXT0C7MSTWANX7A06HY1E",NA,NA,NA,NA,NA,NA,NA,"Garra  larnpta","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"91","0001FHXT0CAGFA4HR1Y90H8CD3",NA,NA,NA,NA,NA,NA,NA,"Danio  malabaricus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"92","0001FHXT0CQF1DGAT6GAX9AHGA",NA,NA,NA,NA,NA,NA,NA,"Noemocheilus  notostigma","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"93","0001FHXT0CVD53X8N3PCDBHFVQ",NA,NA,NA,NA,NA,NA,NA,"Aplocheilus  dayi","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"94","0001FHXT0CK74DC7H803J0ZYJG",NA,NA,NA,NA,NA,NA,NA,"Xeneodon  cancila","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"95","0001FHXT0CJXGM4J5KQ5VYY04H",NA,NA,NA,NA,NA,NA,NA,"Mastacembelus  armatus","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"96","0001FHXT0CF8WN5QD9HDXMHMTY",NA,NA,NA,NA,NA,NA,NA,"Belontia  signata","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"97","0001FHXT0CWZKD4C9RCCBQRX8Z",NA,NA,NA,NA,NA,NA,NA,"Channa  orientalis","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"98","0001FHXT0C5NQJAC56BE5CBZQG",NA,NA,NA,NA,NA,NA,NA,"Ophiocephalus  gaucha","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"99","0001FHXT0CZQMTW4MPAEK0HKMS",NA,NA,NA,NA,NA,NA,NA,"Gobius  gram  mepomus","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"100","0001FHXT0C9JSV53JTN630RCYV",NA,NA,NA,NA,NA,NA,NA,"Sicyopterus  Wei","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustacea",NA,"unknown"
"101","0001FHXT0CP21PS1TE2MXNKG8Q",NA,NA,NA,NA,NA,NA,NA,"Barbus  nigrofasciatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"102","0001FHXT0C3DP07XT6VKVS2RNR",NA,NA,NA,NA,NA,NA,NA,"Barbus  dorsalis","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"103","0001FHXT0CJDVCP4SXTJ2D5M1K",NA,NA,NA,NA,NA,NA,NA,"Barbus  pleurotaenia","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"104","0001FHXT0C0AMHWQ3QF7JZ48DC",NA,NA,NA,NA,NA,NA,NA,"Barbus  titteya","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"105","0001FHXT0CPBBMSCWE7VMWE6Q5",NA,NA,NA,NA,NA,NA,NA,"Barbus  sarana","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"106","0001FHXT0CR5RRN2QVE4NPNA23",NA,NA,NA,NA,NA,NA,NA,"Barbus  jilamentosus","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"107","0001FHXT0C55J1AKDMH3RTC0B4",NA,NA,NA,NA,NA,NA,NA,"Barbus  bimaculatus","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"108","0001FHXT0C3QB1S362VY6WAQ23",NA,NA,NA,NA,NA,NA,NA,"Rasbora  daniconius","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
"109","0001FHXT0CHGFY6SJ2SPYQ34RQ",NA,NA,NA,NA,NA,NA,NA,"Rasbora  vaterifloris","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial insecta",NA,"unknown"
