type_of_fish,fish_genus,fish_order,fish_family,fish_class,fish_superclass,fish_species
Noturus gyrinus,NA,Siluriformes,Ictaluridae,Actinopterygii,Osteichthyes,Noturus gyrinus
Dorosoma petenense,NA,Clupeiformes,Clupeidae,Actinopterygii,Osteichthyes,Dorosoma petenense
Clarius buettifkoferi,NA,Siluriformes,Clariidae,Actinopterygii,NA,Clarias buettikoferi
Pseudotropheus tropheops,NA,Cichliformes,Cichlidae,Actinopterygii,Osteichthyes,Tropheops tropheops
Labeotropheus fuelleborni,NA,Cichliformes,Cichlidae,Actinopterygii,Osteichthyes,Labeotropheus fuelleborni
Melanochromis auratus,NA,Cichliformes,Cichlidae,Actinopterygii,Osteichthyes,Melanochromis auratus
Pseudotropheus gracilior,NA,Cichliformes,Cichlidae,Actinopterygii,Osteichthyes,Tropheops gracilior
Pseudotropheus elongatus,NA,Cichliformes,Cichlidae,Actinopterygii,Osteichthyes,Pseudotropheus elongatus
Petrotilapia nigra,NA,Cichliformes,Cichlidae,Actinopterygii,Osteichthyes,Petrotilapia nigra
Pseudotropheus zebra,NA,Cichliformes,Cichlidae,Actinopterygii,Osteichthyes,Maylandia zebra
Longear sunfish,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Lepomis megalotis
Bluegill,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Lepomis macrochirus
Largemouth bass,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Micropterus salmoides
Spotted bass,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Micropterus punctulatus
Green sunfish,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Lepomis cyanellus
Smallmouth bass,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Micropterus dolomieu
Bullhead catfish,NA,Siluriformes,Ictaluridae,Actinopterygii,NA,Ameiurus sp.
Clarius garlepinus,NA,Siluriformes,Clariidae,Actinopterygii,NA,Clarias gariepinus
Clarius ngamensis,NA,Siluriformes,Clariidae,Actinopterygii,NA,Clarias ngamensis
Schilbe intermedius,NA,Siluriformes,Schilbeidae,Actinopterygii,Osteichthyes,Schilbe intermedius
Hepsetus odoe,NA,Characiformes,Hepsetidae,Actinopterygii,Osteichthyes,Hepsetus odoe
Byrclnus lateralis,NA,Characiformes,Alestidae,Actinopterygii,NA,Brycinus lateralis
Marcuscnius macrolepidotus,NA,Osteoglossiformes,Mormyridae,Actinopterygii,NA,Marcusenius macrolepidotus
Oreochromis andersonii,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Oreochromis andersonii
Tilapa rendalli,NA,Cichliformes,Cichlidae,Actinopterygii,NA,Coptodon rendalli
Redbreast sunfish,NA,Centrarchiformes,Centrarchidae,Actinopterygii,NA,Lepomis auritus
Percopsis omiscomaycus,NA,Percopsiformes,Percopsidae,Actinopterygii,Osteichthyes,Percopsis omiscomaycus
Large mouth bass,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Micropterus salmoides
Rock bass,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Ambloplites rupestris
White crappie,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Pomoxis annularis
Common sucker,NA,Cypriniformes,Catostomidae,Actinopterygii,NA,Catostomus commersonii
Common red horse,NA,Cypriniformes,Catostomidae,Actinopterygii,NA,Moxostoma pisolabrum
Luxilus cornulus,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Luxilus cornutus
Common bullhead,NA,Siluriformes,Ictaluridae,Actinopterygii,NA,Ameiurus nebulosus
Northern pike,NA,Esociformes,Esocidae,Actinopterygii,NA,Esox lucius
Common carp,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Cyprinus carpio
River carpsucker,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Carpiodes carpio
Smallmouth buffalo,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Ictiobus bubalus
Channel catfish,NA,Siluriformes,Ictaluridae,Actinopterygii,NA,Ictalurus punctatus
Freshwater drum,NA,Perciformes,Sciaenidae,Actinopterygii,Osteichthyes,Aplodinotus grunniens
Walleye,NA,Perciformes,Percidae,Actinopterygii,NA,Sander vitreus
Gila alrordensis,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Siphateles alvordensis
Grass pickerel,NA,Esociformes,Esocidae,Actinopterygii,NA,Esox americanus
Bagrus bayad,NA,Siluriformes,Bagridae,Actinopterygii,Osteichthyes,Bagrus bajad
Abramis brama,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Abramis brama
Gobio gobio,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Gobio gobio
Alburnus alburnus,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Alburnus alburnus
Atlantic sturgeon,NA,Acipenseriformes,Acipenseridae,Actinopterygii,NA,Acipenser oxyrinchus
Lake sturgeon,NA,Acipenseriformes,Acipenseridae,Actinopterygii,NA,Acipenser fulvescens
Salmo trutta,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Salmo trutta
Hypentelium etowanum,NA,Cypriniformes,Catostomidae,Actinopterygii,Osteichthyes,Hypentelium etowanum
Tilapia mariae,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Pelmatolapia mariae
Chromidotilapia guntberi,NA,Cichliformes,Cichlidae,Actinopterygii,NA,Chromidotilapia guntberi
Hemichromis fasciatus,NA,Cichliformes,Cichlidae,Actinopterygii,NA,Hemichromis fasciatus
Papyrocranus afer,NA,Osteoglossiformes,Notopteridae,Actinopterygii,Osteichthyes,Papyrocranus afer
Xenomystus nigri,NA,Osteoglossiformes,Notopteridae,Actinopterygii,Osteichthyes,Xenomystus nigri
Ctenopoma kingsleyae,NA,Perciformes,Anabantidae,Actinopterygii,Osteichthyes,Ctenopoma kingsleyae
Colomesus asellus,NA,Tetraodontiformes,Tetraodontidae,Actinopterygii,Osteichthyes,Colomesus asellus
Myleus cf. torquatus,NA,Characiformes,Serrasalmidae,Actinopterygii,NA,Myleus torquatus
Moenkhausia,NA,Characiformes,Characidae,Actinopterygii,NA,Moenkhausia sp.
Pimelodus blochii,NA,Siluriformes,Pimelodidae,Actinopterygii,Osteichthyes,Pimelodus blochii
Pimelodella cristata,NA,Siluriformes,Heptapteridae,Actinopterygii,Osteichthyes,Pimelodella cristata
Phenacogaster,NA,Characiformes,Characidae,Actinopterygii,NA,Phenacogaster
Satanoperca jurupari,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Satanoperca jurupari
Acnodon normani,NA,Characiformes,Serrasalmidae,Actinopterygii,Osteichthyes,Acnodon normani
Brycon,NA,Characiformes,Characidae,Actinopterygii,NA,Brycon sp.
Bryconops,NA,Characiformes,Characidae,Actinopterygii,NA,Bryconops sp.
Jupiaba polylepis,NA,Characiformes,Characidae,Actinopterygii,Osteichthyes,Jupiaba polylepis
Moenkhausia loweae,NA,Characiformes,Characidae,Actinopterygii,Osteichthyes,Moenkhausia loweae
Moenkhausia sanctaefilomenae,NA,Characiformes,Characidae,Actinopterygii,Osteichthyes,Moenkhausia sanctaefilomenae
Tetragonopterus argenteus,NA,Characiformes,Characidae,Actinopterygii,Osteichthyes,Tetragonopterus argenteus
Triportheus trifurcatus,NA,Characiformes,Triportheidae,Actinopterygii,Osteichthyes,Triportheus trifurcatus
Tetragonopterus,NA,Characiformes,Characidae,Actinopterygii,NA,Tetragonopterus sp.
Exodon paradoxus,NA,Characiformes,Characidae,Actinopterygii,Osteichthyes,Exodon paradoxus
Roeboides affinis,NA,Characiformes,Characidae,Actinopterygii,NA,Bryconops affinis
Apareiodon argenteus,NA,Characiformes,Parodontidae,Actinopterygii,Osteichthyes,Apareiodon argenteus
Curimatella immaculata,NA,Characiformes,Curimatidae,Actinopterygii,Osteichthyes,Curimatella immaculata
Caenotropus labyrinthicus,NA,Characiformes,Chilodontidae,Actinopterygii,Osteichthyes,Caenotropus labyrinthicus
Cyphocharax plumbeus,NA,Characiformes,Curimatidae,Actinopterygii,Osteichthyes,Cyphocharax plumbeus
Cyphocharax spilurus,NA,Characiformes,Curimatidae,Actinopterygii,Osteichthyes,Cyphocharax spilurus
Prochilodus nigricans,NA,Characiformes,Prochilodontidae,Actinopterygii,Osteichthyes,Prochilodus nigricans
Steindachnerina gracilis,NA,Characiformes,Curimatidae,Actinopterygii,Osteichthyes,Steindachnerina gracilis
Bivibranchia velox,NA,Characiformes,Hemiodontidae,Actinopterygii,Osteichthyes,Bivibranchia velox
Ctenobrycon hauxwellianus,NA,Characiformes,Characidae,Actinopterygii,Osteichthyes,Ctenobrycon hauxwellianus
Geophagus altifrons,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Geophagus altifrons
Hemiodus unimaculatus,NA,Characiformes,Hemiodontidae,Actinopterygii,Osteichthyes,Hemiodus unimaculatus
Knodus,NA,Characiformes,Characidae,Actinopterygii,NA,Knodus sp.
Moenkhausia gr. dichroura,NA,Characiformes,Characidae,Actinopterygii,NA,Moenkhausia dichroura
Retroculus lapidifer,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Retroculus lapidifer
Serrapinus,NA,Characiformes,Characidae,Actinopterygii,NA,Serrapinnus sp.
Aphyocharax,NA,Characiformes,Characidae,Actinopterygii,NA,Aphyocharax sp.
Creagrutus britskii,NA,Characiformes,Characidae,Actinopterygii,Osteichthyes,Creagrutus britskii
Hemigrammus,NA,Characiformes,Characidae,Actinopterygii,NA,Hemigrammus sp.
Hyphessobrycon,NA,Characiformes,Characidae,Actinopterygii,NA,Hyphessobrycon sp.
Jupiaba,NA,Characiformes,Characidae,Actinopterygii,NA,Jupiaba sp.
Microschemobrycon sp.,NA,Characiformes,Characidae,Actinopterygii,NA,Microschemobrycon sp.
Poptella compressa,NA,Characiformes,Characidae,Actinopterygii,Osteichthyes,Poptella compressa
Vandellia,NA,Siluriformes,Trichomycteridae,Actinopterygii,NA,Vandellia sp.
Bivibranchia fowleri,NA,Characiformes,Hemiodontidae,Actinopterygii,Osteichthyes,Bivibranchia fowleri
Etheostoma spectabile,NA,Perciformes,Percidae,Actinopterygii,Osteichthyes,Etheostoma spectabile
Percina caprodes,NA,Perciformes,Percidae,Actinopterygii,Osteichthyes,Percina caprodes
Noturus exilis,NA,Siluriformes,Ictaluridae,Actinopterygii,Osteichthyes,Noturus exilis
Cottus carolinae,NA,Scorpaeniformes,Cottidae,Actinopterygii,Osteichthyes,Cottus carolinae
Salmo gairdneri,NA,Salmoniformes,Salmonidae,Actinopterygii,Osteichthyes,Oncorhynchus mykiss
Galaxias vulgaris,NA,Osmeriformes,Galaxiidae,Actinopterygii,Osteichthyes,Galaxias vulgaris
Etheostoma microperca,NA,Perciformes,Percidae,Actinopterygii,Osteichthyes,Etheostoma microperca
Etheostoma zonale,NA,Perciformes,Percidae,Actinopterygii,Osteichthyes,Etheostoma zonale
Salmo trutta,NA,Salmoniformes,Salmonidae,Actinopterygii,Osteichthyes,Salmo trutta
Thymallus montanus milner,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Thymallus arcticus
Gambusia affinis,NA,Cyprinodontiformes,Poeciliidae,Actinopterygii,Osteichthyes,Gambusia affinis
Lates niloticus,NA,Perciformes,Latidae,Actinopterygii,Osteichthyes,Lates niloticus
Ichthyomyzon gagei,NA,Petromyzontiformes,Petromyzontidae,Hyperoartia,NA,Ichthyomyzon gagei
Iheringichthys labrosus,NA,Siluriformes,Pimelodidae,Actinopterygii,Osteichthyes,Iheringichthys labrosus
Pimelodus maculatus,NA,Siluriformes,Pimelodidae,Actinopterygii,Osteichthyes,Pimelodus maculatus
Round tail chub,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Gila robusta
Creek chub,NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Semotilus atromaculatus
Characidium vidali,NA,Characiformes,Crenuchidae,Actinopterygii,Osteichthyes,Characidium vidali
Pimelodella lateristriga,NA,Siluriformes,Heptapteridae,Actinopterygii,Osteichthyes,Pimelodella lateristriga
Cheimarrichthys fosteri,NA,Perciformes,Cheimarrichthyidae,Actinopterygii,Osteichthyes,Cheimarrichthys fosteri
Gobiomorphus hubbsi,NA,Perciformes,Eleotridae,Actinopterygii,Osteichthyes,Gobiomorphus hubbsi
Gobiomorphus cotidianus,NA,Perciformes,Eleotridae,Actinopterygii,Osteichthyes,Gobiomorphus cotidianus
Cottus bairdi punctulatus,NA,Scorpaeniformes,Cottidae,Actinopterygii,NA,Cottus bairdii
Brook trout,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Salvelinus fontinalis
Brown trout,NA,Salmoniformes,Salmonidae,Actinopterygii,NA,Salmo trutta
Sculpin,NA,Scorpaeniformes,Cottidae,Actinopterygii,NA,Cottus sp.
Galaxias zebratus,NA,Osmeriformes,Galaxiidae,Actinopterygii,Osteichthyes,Galaxias zebratus
Sandelia capensis,NA,Perciformes,Anabantidae,Actinopterygii,Osteichthyes,Sandelia capensis
Pseudobarbus burchelli,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Pseudobarbus burchelli
Poecilial latipinna,NA,Cyprinodontiformes,Poeciliidae,Actinopterygii,NA,Poecilia latipinna
Carassius auratus,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Carassius auratus
Planiliza abu,NA,Mugiliformes,Mugilidae,Actinopterygii,Osteichthyes,Planiliza abu
Tenualosa ilisha,NA,Clupeiformes,Clupeidae,Actinopterygii,Osteichthyes,Tenualosa ilisha
"Acanthobrama marmid,",NA,Cypriniformes,Cyprinidae,Actinopterygii,NA,Acanthobrama marmid
Anodontostoma chacund,NA,Clupeiformes,Clupeidae,Actinopterygii,NA,Anodontostoma chacunda
Geophagus proximus,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Geophagus proximus
Moenkhausia intermedia,NA,Characiformes,Characidae,Actinopterygii,Osteichthyes,Moenkhausia intermedia
Rhamdia quelen,NA,Siluriformes,Heptapteridae,Actinopterygii,Osteichthyes,Rhamdia quelen
Sternopygus macrurus,NA,Gymnotiformes,Sternopygidae,Actinopterygii,Osteichthyes,Sternopygus macrurus
Serrasalmus maculatus,NA,Characiformes,Serrasalmidae,Actinopterygii,Osteichthyes,Serrasalmus maculatus
Satanoperca pappaterra,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Satanoperca pappaterra
Triportheus nematurus,NA,Characiformes,Triportheidae,Actinopterygii,Osteichthyes,Triportheus nematurus
Apareiodon affinis,NA,Characiformes,Parodontidae,Actinopterygii,Osteichthyes,Apareiodon affinis
Schizodon nasutus,NA,Characiformes,Anostomidae,Actinopterygii,Osteichthyes,Schizodon nasutus
Metynnis maculatus,NA,Characiformes,Serrasalmidae,Actinopterygii,Osteichthyes,Metynnis maculatus
Tilapia rendalli,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Coptodon rendalli
Oreochromis niloticus,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Oreochromis niloticus
Steindachnerina insculpta,NA,Characiformes,Curimatidae,Actinopterygii,Osteichthyes,Steindachnerina insculpta
Acestrorhynchus lacustris,NA,Characiformes,Acestrorhynchidae,Actinopterygii,Osteichthyes,Acestrorhynchus lacustris
Cichla kelberi,NA,Perciformes,Cichlidae,Actinopterygii,Osteichthyes,Cichla kelberi
Hoplias malabaricus,NA,Characiformes,Erythrinidae,Actinopterygii,Osteichthyes,Hoplias malabaricus
Hydrocynus forskahlii,NA,Characiformes,Alestidae,Actinopterygii,Osteichthyes,Hydrocynus forskahlii
Devario regina,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Devario regina
Aphanius iberus,NA,Cyprinodontiformes,Cyprinodontidae,Actinopterygii,Osteichthyes,Aphanius iberus
Pseudorasbora parva,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Pseudorasbora parva
Cottus ictalops,NA,Scorpaeniformes,Cottidae,Actinopterygii,Osteichthyes,Cottus bairdii
Noemacheilus barbatulus,NA,Cypriniformes,Nemacheilidae,Actinopterygii,Osteichthyes,Barbatula barbatula
Cottus gobio l.,NA,Scorpaeniformes,Cottidae,Actinopterygii,NA,Cottus gobio
Lota lota maculosa,NA,Gadiformes,Lotidae,Actinopterygii,NA,Lota lota
Rhinelepis aspera,NA,Siluriformes,Loricariidae,Actinopterygii,Osteichthyes,Rhinelepis aspera
Hypostomus regami,NA,Siluriformes,Loricariidae,Actinopterygii,NA,Hypostomus regani
Hypostomus ternetzi,NA,Siluriformes,Loricariidae,Actinopterygii,Osteichthyes,Hypostomus ternetzi
Hypostomus margaritifer,NA,Siluriformes,Loricariidae,Actinopterygii,Osteichthyes,Hypostomus margaritifer
Hypostomus microstomus,NA,Siluriformes,Loricariidae,Actinopterygii,Osteichthyes,Hypostomus microstomus
Megalancistrus aculeatus,NA,Siluriformes,Loricariidae,Actinopterygii,Osteichthyes,Megalancistrus parananus
Loricariichthys castaneus,NA,Siluriformes,Loricariidae,Actinopterygii,Osteichthyes,Loricariichthys castaneus
Farlowella vittata,NA,Siluriformes,Loricariidae,Actinopterygii,Osteichthyes,Farlowella vittata
Pomoxis annularis rafinesque,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Pomoxis annularis
Pumpkinseed fish,NA,Perciformes,Centrarchidae,Actinopterygii,NA,Lepomis gibbosus
Synodontis nigrita,NA,Siluriformes,Mochokidae,Actinopterygii,Osteichthyes,Synodontis nigrita
Synodontis membranaceus,NA,Siluriformes,Mochokidae,Actinopterygii,Osteichthyes,Synodontis membranaceus
Loricaria lentiginosa,NA,Siluriformes,Loricariidae,Actinopterygii,Osteichthyes,Loricaria lentiginosa
Synodontis zambezensis,NA,Siluriformes,Mochokidae,Actinopterygii,Osteichthyes,Synodontis zambezensis
Copella nigrofasciata,NA,Characiformes,Lebiasinidae,Actinopterygii,Osteichthyes,Copella nigrofasciata
Pyrrhulina aff. brevis,NA,Characiformes,Lebiasinidae,Actinopterygii,NA,Pyrrhulina brevis
Hypostomus  albopunctatus,NA,Siluriformes,Loricariidae,Actinopterygii,NA,Hypostomus albopunctatus
Hypostomus  regani,NA,Siluriformes,Loricariidae,Actinopterygii,NA,Hypostomus regani
Hypostomus  strigaticeps,NA,Siluriformes,Loricariidae,Actinopterygii,NA,Hypostomus strigaticeps
White perch,NA,Perciformes,Moronidae,Actinopterygii,NA,Morone americana
Redfin perch,NA,Perciformes,Percidae,Actinopterygii,NA,Perca fluviatilis
Golden perch,NA,Centrarchiformes,Percichthyidae,Actinopterygii,NA,Macquaria ambigua
Etheostoma trisella,NA,Perciformes,Percidae,Actinopterygii,Osteichthyes,Etheostoma trisella
Rivulus luelingi,NA,Cyprinodontiformes,Rivulidae,Actinopterygii,Osteichthyes,Atlantirivulus luelingi
Pimelodus sp,NA,Siluriformes,Pimelodidae,Actinopterygii,NA,Pimelodus sp.
Gambusia sexradiata,NA,Cyprinodontiformes,Poeciliidae,Actinopterygii,Osteichthyes,Gambusia sexradiata
Gambia p. yucatana,NA,Cyprinodontiformes,Poeciliidae,Actinopterygii,NA,Gambusia yucatana
Barbus bocagei,NA,Cypriniformes,Cyprinidae,Actinopterygii,Osteichthyes,Luciobarbus bocagei
