"","fish_genus_species","predator_min_length","predator_max_length","predator_average_length","length_type","length_units","sample_size","start_year","start_month","start_day","end_year","end_month","end_day","habitat","measurement_type","measurement_units","author","year","journal","site_name","sampling_interval","citation","figure","fish_id","data_sorted_by","notes","prey_taxon","measurement","prey_stage","lon","lat"
"11","bluegill",NA,NA,"151.8","total","mm","380","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_4","averaged over site time and fish size",NA,"cambaridae","0","unknown","-91.5589892","30.2380944"
"12","redspotted sunfish",NA,NA,"126.2","total","mm","106","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_5","averaged over site time and fish size",NA,"cambaridae","0","unknown","-91.5589892","30.2380944"
"13","longear sunfish",NA,NA,"119.1","total","mm","94","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_6","averaged over site time and fish size",NA,"cambaridae","0","unknown","-91.5589892","30.2380944"
"14","readear sunfish",NA,NA,"68","total","mm","68","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_7","averaged over site time and fish size",NA,"cambaridae","0","unknown","-91.5589892","30.2380944"
"15","largemouth bass",NA,NA,"278.5","total","mm","220","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_1","averaged over site time and fish size",NA,"palaemonidae","0.01","unknown","-91.5589892","30.2380944"
"16","warmouth",NA,NA,"159.9","total","mm","156","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_2","averaged over site time and fish size",NA,"palaemonidae","0.01","unknown","-91.5589892","30.2380944"
"17","black crappie",NA,NA,"203.8","total","mm","229","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_3","averaged over site time and fish size",NA,"palaemonidae","0.56","unknown","-91.5589892","30.2380944"
"18","bluegill",NA,NA,"151.8","total","mm","380","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_4","averaged over site time and fish size",NA,"palaemonidae","0.11","unknown","-91.5589892","30.2380944"
"19","redspotted sunfish",NA,NA,"126.2","total","mm","106","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_5","averaged over site time and fish size",NA,"palaemonidae","0.15","unknown","-91.5589892","30.2380944"
"20","longear sunfish",NA,NA,"119.1","total","mm","94","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_6","averaged over site time and fish size",NA,"palaemonidae","0.17","unknown","-91.5589892","30.2380944"
"21","readear sunfish",NA,NA,"68","total","mm","68","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_7","averaged over site time and fish size",NA,"palaemonidae","<0.01","unknown","-91.5589892","30.2380944"
"22","largemouth bass",NA,NA,"278.5","total","mm","220","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_1","averaged over site time and fish size",NA,"amphipoda","0","unknown","-91.5589892","30.2380944"
"23","warmouth",NA,NA,"159.9","total","mm","156","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_2","averaged over site time and fish size",NA,"amphipoda","0","unknown","-91.5589892","30.2380944"
"24","black crappie",NA,NA,"203.8","total","mm","229","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_3","averaged over site time and fish size",NA,"amphipoda","0.05","unknown","-91.5589892","30.2380944"
"25","bluegill",NA,NA,"151.8","total","mm","380","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_4","averaged over site time and fish size",NA,"amphipoda","0.02","unknown","-91.5589892","30.2380944"
"26","redspotted sunfish",NA,NA,"126.2","total","mm","106","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_5","averaged over site time and fish size",NA,"amphipoda","0.01","unknown","-91.5589892","30.2380944"
"27","longear sunfish",NA,NA,"119.1","total","mm","94","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_6","averaged over site time and fish size",NA,"amphipoda","0.02","unknown","-91.5589892","30.2380944"
"28","readear sunfish",NA,NA,"68","total","mm","68","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_7","averaged over site time and fish size",NA,"amphipoda","<0.01","unknown","-91.5589892","30.2380944"
"29","largemouth bass",NA,NA,"278.5","total","mm","220","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_1","averaged over site time and fish size",NA,"diptera","0","unknown","-91.5589892","30.2380944"
"30","warmouth",NA,NA,"159.9","total","mm","156","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_2","averaged over site time and fish size",NA,"diptera","0","unknown","-91.5589892","30.2380944"
"31","black crappie",NA,NA,"203.8","total","mm","229","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_3","averaged over site time and fish size",NA,"diptera","0","unknown","-91.5589892","30.2380944"
"32","bluegill",NA,NA,"151.8","total","mm","380","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_4","averaged over site time and fish size",NA,"diptera","0.14","unknown","-91.5589892","30.2380944"
"33","redspotted sunfish",NA,NA,"126.2","total","mm","106","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_5","averaged over site time and fish size",NA,"diptera","0.02","unknown","-91.5589892","30.2380944"
"34","longear sunfish",NA,NA,"119.1","total","mm","94","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_6","averaged over site time and fish size",NA,"diptera","0.03","unknown","-91.5589892","30.2380944"
"35","readear sunfish",NA,NA,"68","total","mm","68","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_7","averaged over site time and fish size",NA,"diptera","<0.01","unknown","-91.5589892","30.2380944"
"36","largemouth bass",NA,NA,"278.5","total","mm","220","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_1","averaged over site time and fish size",NA,"ephemeroptera","0","unknown","-91.5589892","30.2380944"
"37","warmouth",NA,NA,"159.9","total","mm","156","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_2","averaged over site time and fish size",NA,"ephemeroptera","0","unknown","-91.5589892","30.2380944"
"38","black crappie",NA,NA,"203.8","total","mm","229","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_3","averaged over site time and fish size",NA,"ephemeroptera","0.06","unknown","-91.5589892","30.2380944"
"39","bluegill",NA,NA,"151.8","total","mm","380","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_4","averaged over site time and fish size",NA,"ephemeroptera","0.12","unknown","-91.5589892","30.2380944"
"40","redspotted sunfish",NA,NA,"126.2","total","mm","106","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_5","averaged over site time and fish size",NA,"ephemeroptera","0.06","unknown","-91.5589892","30.2380944"
"41","longear sunfish",NA,NA,"119.1","total","mm","94","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_6","averaged over site time and fish size",NA,"ephemeroptera","0.28","unknown","-91.5589892","30.2380944"
"42","readear sunfish",NA,NA,"68","total","mm","68","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_7","averaged over site time and fish size",NA,"ephemeroptera","0.06","unknown","-91.5589892","30.2380944"
"43","largemouth bass",NA,NA,"278.5","total","mm","220","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_1","averaged over site time and fish size",NA,"hemiptera","0","unknown","-91.5589892","30.2380944"
"44","warmouth",NA,NA,"159.9","total","mm","156","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_2","averaged over site time and fish size",NA,"hemiptera","0.04","unknown","-91.5589892","30.2380944"
"45","black crappie",NA,NA,"203.8","total","mm","229","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_3","averaged over site time and fish size",NA,"hemiptera","0.01","unknown","-91.5589892","30.2380944"
"46","bluegill",NA,NA,"151.8","total","mm","380","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_4","averaged over site time and fish size",NA,"hemiptera","0.1","unknown","-91.5589892","30.2380944"
"47","redspotted sunfish",NA,NA,"126.2","total","mm","106","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_5","averaged over site time and fish size",NA,"hemiptera","0.18","unknown","-91.5589892","30.2380944"
"48","longear sunfish",NA,NA,"119.1","total","mm","94","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_6","averaged over site time and fish size",NA,"hemiptera","0.03","unknown","-91.5589892","30.2380944"
"49","readear sunfish",NA,NA,"68","total","mm","68","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_7","averaged over site time and fish size",NA,"hemiptera","0","unknown","-91.5589892","30.2380944"
"50","largemouth bass",NA,NA,"278.5","total","mm","220","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_1","averaged over site time and fish size",NA,"coleoptera","0","unknown","-91.5589892","30.2380944"
"51","warmouth",NA,NA,"159.9","total","mm","156","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_2","averaged over site time and fish size",NA,"coleoptera","0","unknown","-91.5589892","30.2380944"
"52","black crappie",NA,NA,"203.8","total","mm","229","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_3","averaged over site time and fish size",NA,"coleoptera","0","unknown","-91.5589892","30.2380944"
"53","bluegill",NA,NA,"151.8","total","mm","380","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_4","averaged over site time and fish size",NA,"coleoptera","0.15","unknown","-91.5589892","30.2380944"
"54","redspotted sunfish",NA,NA,"126.2","total","mm","106","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_5","averaged over site time and fish size",NA,"coleoptera","0.13","unknown","-91.5589892","30.2380944"
"55","longear sunfish",NA,NA,"119.1","total","mm","94","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_6","averaged over site time and fish size",NA,"coleoptera","0.04","unknown","-91.5589892","30.2380944"
"56","readear sunfish",NA,NA,"68","total","mm","68","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_7","averaged over site time and fish size",NA,"coleoptera","<0.01","unknown","-91.5589892","30.2380944"
"57","largemouth bass",NA,NA,"278.5","total","mm","220","2011","8","1","2012","7","11","lentic","weight","percent","Miller","2015","TAFS","Atchafalaya River, Louisiana",NA,"Miller, B. A., Kelso, W. E., & Kaller, M. D. (2015). Diet partitioning in a diverse Centrarchid assemblage in the Atchafalaya River Basin, Louisiana. Transactions of the American Fisheries Society, 144(4), 780-791.","tbl1","20200115_miller_1","averaged over site time and fish size",NA,"hymenoptera","0","unknown","-91.5589892","30.2380944"
